Frequency (Hz)	Level (dB)
5250.000000	-82.679939
5296.875000	-82.785599
5343.750000	-83.349579
5390.625000	-83.353096
5437.500000	-83.280800
5484.375000	-83.381912
5531.250000	-82.941109
5578.125000	-82.542824
5625.000000	-82.869637
5671.875000	-83.020966
5718.750000	-83.121140
5765.625000	-82.897102
5812.500000	-83.037170
5859.375000	-82.858116
5906.250000	-83.217552
5953.125000	-83.576019
6000.000000	-83.411255
6046.875000	-83.713348
6093.750000	-83.585770
6140.625000	-83.609367
6187.500000	-83.910774
6234.375000	-83.750381
6281.250000	-83.744858
6328.125000	-83.934090
6375.000000	-84.136589
6421.875000	-83.896141
6468.750000	-84.015678
6515.625000	-84.239044
6562.500000	-84.094803
6609.375000	-84.098877
6656.250000	-84.189362
6703.125000	-84.008041
6750.000000	-84.176270
6796.875000	-84.680328
6843.750000	-84.750427
6890.625000	-84.527596
6937.500000	-82.286064
6984.375000	-74.834023
7031.250000	-76.536079
7078.125000	-84.642532
7125.000000	-84.556999
7171.875000	-84.510811
7218.750000	-84.493202
7265.625000	-84.375923
7312.500000	-84.184258
7359.375000	-84.135323
7406.250000	-84.361687
7453.125000	-84.300041
7500.000000	-84.348137
7546.875000	-84.755844
7593.750000	-84.852867
7640.625000	-84.979431
7687.500000	-85.107582
7734.375000	-84.925781
7781.250000	-84.845284
7828.125000	-85.135368
7875.000000	-85.523293
7921.875000	-85.076813
7968.750000	-85.010513
8015.625000	-85.215996
8062.500000	-85.548058
8109.375000	-86.017181
8156.250000	-85.870575
8203.125000	-85.622292
8250.000000	-85.812965
8296.875000	-85.340942
8343.750000	-85.063721
8390.625000	-85.454910
8437.500000	-85.676086
8484.375000	-85.982109
8531.250000	-85.978951
8578.125000	-86.078697
8625.000000	-86.266769
8671.875000	-86.637871
8718.750000	-86.246727
8765.625000	-86.105637
8812.500000	-86.345192
8859.375000	-86.287979
8906.250000	-86.558693
8953.125000	-85.393341
9000.000000	-83.233559
9046.875000	-85.133759
9093.750000	-86.586464
9140.625000	-86.584114
9187.500000	-86.667679
9234.375000	-86.869270
9281.250000	-86.866005
9328.125000	-86.993057
9375.000000	-86.985626
9421.875000	-87.016891
9468.750000	-86.857468
9515.625000	-87.310127
9562.500000	-87.412537
9609.375000	-87.383766
9656.250000	-87.153122
9703.125000	-87.220573
9750.000000	-87.074219
9796.875000	-87.194748
9843.750000	-87.168671
9890.625000	-87.051201
9937.500000	-87.073303
9984.375000	-87.339050
10031.250000	-87.410522
10078.125000	-87.284378
10125.000000	-87.637306
10171.875000	-87.567688
10218.750000	-87.415283
10265.625000	-87.637283
10312.500000	-87.471046
10359.375000	-87.728622
10406.250000	-87.762794
10453.125000	-87.730301
10500.000000	-87.352470
10546.875000	-87.393250
10593.750000	-87.489609
10640.625000	-87.641266
10687.500000	-87.976868
10734.375000	-87.992752
10781.250000	-87.972092
10828.125000	-87.705803
10875.000000	-87.681427
10921.875000	-87.842911
10968.750000	-87.987946
11015.625000	-87.718826
11062.500000	-87.886780
11109.375000	-87.879845
11156.250000	-88.076385
11203.125000	-88.104713
11250.000000	-88.129333
11296.875000	-88.154732
11343.750000	-87.995041
11390.625000	-88.179405
11437.500000	-88.209312
11484.375000	-88.018806
11531.250000	-87.982658
11578.125000	-88.338997
11625.000000	-88.423027
11671.875000	-88.570045
11718.750000	-88.369102
11765.625000	-88.672920
11812.500000	-88.341911
11859.375000	-88.722420
11906.250000	-88.566109
11953.125000	-88.559616
12000.000000	-87.916420
12046.875000	-88.467125
12093.750000	-88.658455
12140.625000	-88.311920
12187.500000	-88.419044
12234.375000	-88.391541
12281.250000	-88.646408
12328.125000	-89.118584
12375.000000	-88.819054
12421.875000	-88.951767
12468.750000	-89.027313
12515.625000	-88.783203
